symbol,strike,iv,last_price,expiry,type,underlying_price,moneyyyyy,expiry_dt,T,d2,exercise_prob
AAPL US 03/20/26 C200 Equity,200.0,0.5280773,65.37,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,1.83653652817337,0.9668608275841007
AAPL US 03/20/26 C205 Equity,205.0,0.5067647000000001,60.02,3/20/2026,Call,263.8181,ITM,2026-03-20,0.07665982203969883,1.7440326645764046,0.9594233029079323
AAPL US 03/20/26 C210 Equity,210.0,0.4621483,55.38,3/20/2026,Call,263.8,ITM,2026-03-20,0.07665982203969883,1.7364922629583017,0.958761584383627
AAPL US 03/20/26 C215 Equity,215.0,0.4128362,51.03,3/20/2026,Call,263.8181,ITM,2026-03-20,0.07665982203969883,1.753121444406003,0.9602094183360887
AAPL US 03/20/26 C220 Equity,220.0,0.40712699999999996,45.37,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,1.575078748008015,0.9423808655881887
AAPL US 03/20/26 C225 Equity,225.0,0.38336370000000003,40.35,3/20/2026,Call,263.8181,ITM,2026-03-20,0.07665982203969883,1.4680639837665455,0.9289565781899947
AAPL US 03/20/26 C230 Equity,230.0,0.3716195,35.2,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,1.303852466903777,0.9038580551844094
AAPL US 03/20/26 C235 Equity,235.0,0.34303199999999995,30.97,3/20/2026,Call,263.8,ITM,2026-03-20,0.07665982203969883,1.1939225267773927,0.8837458626165541
AAPL US 03/20/26 C240 Equity,240.0,0.32082540000000004,26.77,3/20/2026,Call,263.8181,ITM,2026-03-20,0.07665982203969883,1.0466843014079052,0.8523773967650503
AAPL US 03/20/26 C245 Equity,245.0,0.3033502,22.27,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,0.8660966719086289,0.8067814249293885
AAPL US 03/20/26 C250 Equity,250.0,0.2910652,17.94,3/20/2026,Call,263.8,ITM,2026-03-20,0.07665982203969883,0.6549658043965969,0.7437551145854883
AAPL US 03/20/26 C255 Equity,255.0,0.2761386,14.2,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,0.4361029392023308,0.6686189776206237
AAPL US 03/20/26 C260 Equity,260.0,0.2631645,10.52,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,0.19478494682507203,0.5772193463672765
AAPL US 03/20/26 C265 Equity,265.0,0.250306,7.5,3/20/2026,Call,263.8,OTM,2026-03-20,0.07665982203969883,-0.0669559054908138,0.4733084033518057
AAPL US 03/20/26 C270 Equity,270.0,0.2397269,5.0,3/20/2026,Call,263.81,OTM,2026-03-20,0.07665982203969883,-0.34796239179407057,0.36393421380951907
AAPL US 03/20/26 C275 Equity,275.0,0.23177150000000002,3.15,3/20/2026,Call,263.8,OTM,2026-03-20,0.07665982203969883,-0.6441941355757862,0.2597247766305487
AAPL US 03/20/26 C280 Equity,280.0,0.22652039999999998,1.89,3/20/2026,Call,263.81,OTM,2026-03-20,0.07665982203969883,-0.9443470719978254,0.17249615943461633
AAPL US 03/20/26 C285 Equity,285.0,0.22469809999999998,1.09,3/20/2026,Call,263.8,OTM,2026-03-20,0.07665982203969883,-1.2366066695795197,0.10811657130890123
